
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 165 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

165 species included in the data set
57 species have a single occurrence, 2 species are extant
3237 fossil occurrences (1 replicates), ranging from 56.469 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Palaeoloxodon_naumanni	0.118	0.03	
Palaeoloxodon_recki	12.533	0.008	
Palaeomastodon	32.639	23.055	
Palaeomastodon_beadnelli	29.395	29.395	
Palaeomastodon_minor	31.119	31.119	
Palaeomastodon_parvus	29.056	29.056	
Palaeomastodon_wintoni	29.174	29.174	
Palaeomastodontidae	23.39	23.39	
Pediolophodon	11.049	11.049	
Phiomia	38.133	24.804	
Phiomia_major	26.218	26.218	
Phiomia_serridens	30.481	30.481	
Phosphatherium_escuilliei	52.559	52.559	
Platybelodon	18.443	6.399	
Platybelodon_barnumbrowni	10.367	10.367	
Platybelodon_loomisi	18.388	7.347	
Primelephas	7.107	5.865	
Primelephas_korotorensis	16.861	2.58	
Proboscidea	56.073	0.015	
Prodeinotherium	26.306	12.959	
Prodeinotherium_bavaricum	17.4	11.443	
Prodeinotherium_hobleyi	21.433	11.972	
Prodeinotherium_pentapotamiae	19.828	11.87	
Protanancus	19.574	12.546	
Rhynchotherium	11.869	0.497	
Rhynchotherium_blicki	19.222	7.133	
Rhynchotherium_falconeri	9.361	2.279	
Serbelodon	11.892	8.561	
Serbelodon_barbourensis	10.672	9.0	
Serbelodon_burnhami	12.331	10.554	
Serridentinus_mongoliensis	23.028	23.028	
Sinomastodon	2.549	2.549	
Stegodibelodon_schneideri	11.342	3.696	
Stegodon	22.851	0.073	
Stegodon_florensis	2.146	0.215	
Stegodon_kaisensis	16.804	2.275	
Stegodon_luzonensis	1.03	1.03	
Stegodon_sompoensis	3.575	1.148	
Stegodon_sondaari	1.604	1.604	
Stegodon_sumbaensis	2.306	2.306	
Stegodon_trigonocephalus	2.559	0.082	
Stegodon_yuanmouensis	1.258	1.258	
Stegodontidae	10.419	10.419	
Stegolophodon	21.389	2.942	
Stegomastodon	10.005	0.023	
Stegomastodon_aftoniae	2.314	0.689	
Stegomastodon_mirificus	4.582	0.514	
Stegomastodon_platensis	0.744	0.303	
Stegomastodon_primitivus	4.819	2.735	
Stegomastodon_waringi	2.293	0.007	
Stegotetrabelodon	19.321	5.774	
Stegotetrabelodon_orbus	11.09	4.451	
Synconolophus	6.991	6.991	
Tetrabelodon_angustidens	21.116	1.98	
Tetrabelodon_osborni	15.943	11.152	
Tetralophodon	13.183	2.616	
Tetralophodon_longirostris	12.405	7.12	
Zygolophodon	26.013	2.674	
Zygolophodon_aegyptensis	16.507	16.507	
Zygolophodon_morotoensis	21.267	14.155	
Zygolophodon_tapiroides	14.251	2.706	
Zygolophodon_turicensis	14.511	7.125	
