
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 3215 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

3215 species included in the data set
2580 species have a single occurrence, 44 species are extant
4828 fossil occurrences (1 replicates), ranging from 307.605 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Alloambria_infelicis	79.273	79.273	
Alloambria_phoenicis	75.891	75.891	
Allocalisius_spiniventris	36.635	35.311	
Allocercopis	61.355	61.355	
Allocercopis_punctatis	56.192	56.192	
Alumeda_antilliana	16.974	16.974	
Alumeda_dominicana	16.63	16.63	
Alumeda_nigricans	13.988	13.988	
Alumeda_solorzanokraemerae	20.505	20.505	
Alydidae	124.535	74.008	
Alydus_pristinus	28.273	28.273	
Alydus_pulchellus	11.715	11.715	
Amagua_fortis	29.812	29.812	
Amalaberga_ostrogothiorum	44.403	44.403	
Ambaraphis_costalis	83.006	75.74	
Ambaraphis_kotejai	79.15	79.15	
Ambarcader_eugenei	97.032	97.032	
Ambercylapus_nigrus	35.696	35.696	
Ambericarda_skalskii	34.889	34.889	
Amberobrysa_brandti	16.303	16.303	
Amberofulvius_dentatus	35.103	35.103	
Ambocylapus_kulickae	34.496	34.496	
Ambopemphigus_romani	34.201	34.201	
Americaphis_longipes	15.292	15.292	
Amnestus_electricus	18.149	15.469	
Amnestus_guapinolinus	17.536	17.536	
Amnestus_priscus	14.695	14.695	
Amphibolus_disponsi	40.664	40.664	
Anacoloptera_trigonalis	143.565	143.565	
Anaprosbole_ivensis	271.888	268.845	
Anasa_priscoputida	35.5	35.5	
Anconatus_dorsuosus	35.832	35.832	
Anconatus_niger	35.554	35.554	
Ancorale	118.824	118.824	
Ancorale_aschemon	112.978	112.978	
Ancorale_flaccidum	120.919	120.919	
Aneurus	22.147	22.147	
Aneurus_(Aneurodellus)_goitschenus	34.471	34.471	
Aneurus_(Aneurus)_ancestralis	34.742	34.742	
Aneurus_(Aneurus)_groehni	34.77	34.77	
Aneurus_(Neaneurosoma)_kotashevichi	37.721	37.721	
Aneurus_(Paraneurosoma)_ursulae	36.378	36.378	
Aneurus_incertus	44.145	44.145	
Aneurus_opertus	14.754	14.754	
Angaronecta_longirostris	123.754	123.754	
Angulochterus_quatrimaculatus	128.497	128.191	
Angustachilus_longirostris	36.153	36.153	
Aniferella_bostoni	81.441	81.441	
Aniferella_sibirica	85.378	85.378	
Anirma_longiclavalis	71.231	71.231	
Anisops	24.589	3.377	
Anisops_beskonakensis	21.433	21.433	
Anisops_deichmuelleri	26.851	23.264	
Anisops_heydeni	35.238	35.238	
Anisops_privasensis	5.549	5.549	
Annulaphis_mostovskini	123.977	114.655	
Annulaphis_rasnitsyni	123.505	115.92	
Annulaphis_zherichini	117.806	117.806	
Anoeciinae	36.82	36.82	
Anomaloscytina_incompleta	253.531	253.531	
Anomaloscytina_metapteryx	252.88	252.88	
Anomoscytina_anomala	127.206	127.206	
Anosmus_spilopterus	182.251	182.251	
Anthocephalinus_yafaensis	104.127	104.127	
Anthocoridae	122.257	18.26	
Anthoscytina_brevineura	166.065	166.065	
Anthoscytina_daica	150.775	150.564	
Anthoscytina_elegans	159.619	159.619	
Anthoscytina_hongi	165.945	165.945	
Anthoscytina_liugouensis	164.264	164.264	
Anthoscytina_longa	165.319	162.777	
Anthoscytina_parallelica	166.087	166.087	
Anthoscytina_perpetua	165.524	161.271	
Anthoscytina_pustulosus	117.735	117.735	
Anthoscytina_reducta	186.511	186.511	
Anthoscytina_trinervus	121.099	121.099	
Anticedusa_dominicana	15.878	15.878	
Antonaphis_affinis	83.607	83.607	
Antonaphis_brachycera	85.226	85.226	
Aonikenkissus_zamunerae	99.048	99.048	
Aphalaridae	34.942	34.942	
Aphana_atava	49.736	49.736	
Aphana_lithoecia	12.123	11.624	
Aphana_rotundipennis	48.555	46.315	
Aphanocoris_femoratus	123.951	113.108	
Aphanocoris_parallelus	122.998	122.83	
Aphanocoris_porrectus	130.054	123.758	
Aphanocoris_turgensis	130.908	122.628	
Aphanus_contractus	32.86	30.66	
Aphanus_dilatatus	28.099	24.321	
Aphanus_murchisonae	27.745	23.963	
Aphanus_pulchellus	31.175	23.215	
Aphaorus_curtipes	127.437	127.437	
Aphelocheirus_(Aphelocheirus)_affinis	3.428	2.701	
Apheloscyta_mesocampta	211.477	210.628	
Apheloscyta_xiangdongensis	212.781	212.781	
Aphididae	49.247	3.005	
Aphidinius_constrictus	75.879	75.879	
Aphidioides_succifera	37.829	37.829	
Aphidocallis_caudatus	85.959	85.959	
Aphidoidea	50.477	10.334	
Aphidopsis_margarum	35.649	35.649	
Aphidulum_bemigdium	151.343	151.343	
Aphidulum_ciliatum	182.055	182.055	
Aphidulum_heckeri	163.205	163.205	
Aphlebocoris_nana	182.729	182.729	
Aphlebocoris_punctata	182.993	182.993	
Aphrodes_bifasciatus	0.124	0.124	extant
Aphrophora	51.118	16.006	
Aphrophora_(Ptyela)_carbonaria	36.349	36.349	
Aphrophora_angusta	46.846	46.846	
Aphrophora_brevistylata	32.041	32.041	
Aphrophora_coquandi	28.044	23.19	
Aphrophora_dimidia	29.341	29.341	
Aphrophora_electrina	34.742	34.742	
Aphrophora_maculata	57.718	57.718	
Aphrophora_molassica	24.458	24.458	
Aphrophora_pinguicula	31.583	25.306	
Aphrophora_protocalla	19.566	19.566	
Aphrophora_pulchra	31.456	29.618	
Aphrophora_spumarioides	12.668	12.223	
Aphrophora_stavropolitana	12.456	12.456	
Aphrophora_ungeri	12.563	12.369	
Aphrophora_vetusta	36.535	36.535	
Aphrophora_woodwardi	36.714	36.714	
Aphrophoridae	14.229	12.084	
Apicrenus_fossilis	19.874	19.874	
Apopnus_magniclavus	182.866	182.866	
Aporema_praestrictum	36.239	36.239	
Apsicoria_semideleta	182.636	182.636	
Apticoccus_fortis	129.711	129.711	
Apticoccus_longitenuis	128.242	128.242	
Apticoccus_minutus	128.566	128.566	
Aquarius	14.558	14.558	
Aquarius_lunpolaensis	22.592	21.978	
Aradidae	37.206	37.206	
Aradoleptus_birmanus	94.481	94.481	
Aradus_andancensis	7.007	7.007	
Aradus_antediluvianus	12.657	12.657	
Aradus_assimilis	35.237	35.237	
Aradus_balticus	34.712	34.712	
Aradus_consimilis	36.601	36.601	
Aradus_creticus	76.304	76.304	
Aradus_damzeni	34.081	34.081	
Aradus_frater	36.37	36.37	
Aradus_frateroides	36.377	35.453	
Aradus_goellnerae	37.545	37.545	
Aradus_grabenhorsti	37.219	35.94	
Aradus_kotashevichi	36.943	34.924	
Aradus_lativentris	37.884	37.884	
Aradus_leptosomus	37.677	37.677	
Aradus_macrosomus	36.649	36.649	
Aradus_madagascariensis	0.003	0.003	
Aradus_nicholasi	114.684	114.684	
Aradus_penteneuros	37.747	37.747	
Aradus_popovi	35.288	35.288	
Aradus_rotundiventris	36.113	36.113	
Aradus_superstes	35.219	35.219	
Aradus_velteni	35.225	35.225	
Aradus_voigti	34.664	34.664	
Aradus_weitschati	36.131	36.131	
Aragocylapus_miocaenicus	18.472	18.472	
Araripebelostomum_martinsnetoi	117.291	117.291	
Arcantivelia_petraudi	104.562	104.562	
Archaecorixa_lata	162.607	161.14	
Archaesalepta_schuhi	51.007	51.007	
Archearadus_burmensis	94.262	94.262	
Archearadus_elongatus	93.517	93.517	
Archeglyphis_crassinervis	302.581	302.581	
Archegocimex_geinitzi	182.87	182.87	
Archegocimex_liadis	182.925	182.925	
Archegocimex_primitiva	182.847	182.847	
Archegocimicidae	182.816	118.224	
Archemyiomma_carvalhoi	34.011	34.011	
Archemyiomma_schaeferi	35.936	35.936	
Archeofulvius_gulosus	36.963	34.444	
Archeofulvius_kotejai	36.466	36.466	
Archeoviparosiphum_baissense	124.971	113.399	
Archeoviparosiphum_camptotropum	113.876	113.876	
Archeoviparosiphum_latum	120.803	120.803	
Archeoviparosiphum_malacum	117.014	117.014	
Archeoviparosiphum_opimum	116.326	116.326	
Archeoviparosiphum_tuanwangense	122.785	122.785	
Archepopovia_yurii	34.851	34.544	
Archescytina	274.402	274.402	
Archescytina_carpenteri	272.297	272.297	
Archescytina_fusca	271.915	269.436	
Archescytina_gunderseni	271.213	269.162	
Archescytina_kaltanica	271.186	271.161	
Archescytina_kansasensis	289.484	289.198	
Archescytina_kondomensis	271.981	271.981	
Archescytina_maueriaeformis	272.513	272.513	
Archescytina_muiri	287.727	283.112	
Archescytina_permiana	286.807	283.573	
Archescytina_prosbolioides	274.474	274.474	
Archescytina_pusilla	279.264	279.264	
Archescytina_sheimoensis	272.054	272.054	
Archescytina_similis	274.968	274.968	
Archescytina_sojanensis	271.971	271.971	
Archescytina_sylvensis	273.116	273.116	
Archescytina_tetraclada	270.874	270.814	
Archescytina_tshekardaensis	274.243	274.243	
Archescytina_zekkeli	270.493	270.493	
Archescytinidae	278.285	224.785	
Archicercopis	201.916	201.916	
Archicercopis_falcatus	182.063	182.063	
Archiconiopteryx_liasina	182.644	182.038	
Archijassidae	182.225	182.225	
Archijassus_heeri	182.898	182.067	
Archijassus_minimus	164.684	164.684	
Archijassus_minutus	197.283	197.283	
Archijassus_morio	198.215	198.215	
Archijassus_plurinervis	124.151	124.151	
Archiokrisna_garciamarquezi	18.637	18.637	
Archipsyche_eichstattensis	150.514	145.099	
Architettix_compacta	117.069	117.069	
Arctorthezia	37.411	37.411	
Arctorthezia_antiqua	35.199	35.199	
Arctorthezia_baltica	37.835	37.835	
Ardela_grimmenensis	182.934	182.934	
Aretsaya_therina	127.347	127.347	
Argentinocicada_magna	232.181	232.181	
Argentinocicada_minima	228.811	228.811	
Argentinopheloscyta_forsterae	234.327	234.327	
Argentinoscytina_clara	229.462	229.462	
Arilus_faujasi	5.968	5.968	
Arlecoris_louisi	247.169	246.433	
Armanomiris_cretaceous	83.051	83.051	
Armanomiris_klimaszewskii	79.731	79.731	
Arnoldus	37.746	37.746	
Arnoldus_capitatus	37.363	35.708	
Arnoldus_clavatus	36.874	36.874	
Arroyoscyta_novaemexicana	300.354	300.354	
Asiocossus_subcostalis	195.254	195.254	
Asiocula_lima	236.488	229.691	
Asionecta_curtipes	164.722	164.722	
Asiopsyllidium_unicum	198.401	198.401	
Asiraca_albipuncta	0.004	0.004	
Asopus_puncticollis	56.103	56.103	
Aspidiotinae	48.519	20.945	
Aspidiotus_crenulatus	10.41	10.41	
Auchenorrhyncha	270.006	29.063	
Aulieezidium_karatauense	163.749	163.749	
Australocicada_arcucciae	233.018	233.018	
Austris_raffelis	37.379	37.379	
Austroprosbole_maculata	253.378	253.378	
Austroprosboloides_vandijki	253.776	252.348	
Austroscytina_imperfecta	252.611	252.611	
Autrimpus_sambiorum	37.62	37.62	
Aviorrhyncha_magnifica	307.605	307.605	
Baeocossus_finchae	121.005	121.005	
Baeocossus_fortunatus	115.313	115.313	
Baetylus_kahramanus	127.147	127.147	
Baisococcus_victoriae	117.427	117.427	
Baissotea_infanta	123.853	116.241	
Baissotea_peregrina	115.383	115.383	
Baissotea_popovi	123.142	123.142	
Bajsaphididae	114.955	114.955	
Bajsaphis_abbreviata	118.472	118.472	
Bajsaphis_cuspidata	120.849	120.849	
Bajsaphis_eridmata	113.237	113.237	
Bajsaphis_kononovae	124.251	115.983	
Bajsaphis_pulchra	122.161	122.161	
Bakharia_gibbera	168.291	163.802	
Balticaphis	34.653	34.653	
Balticaphis_exsiccata	36.937	36.937	
Baltichaitophorus_jutlandicus	36.776	34.074	
Balticixius_insignis	34.701	34.436	
Balticococcus_oblicus	37.128	37.128	
Balticococcus_spinosus	37.841	37.841	
Balticofulvius_kulickae	37.431	37.431	
Balticomaraphis_latens	33.985	33.985	
Balticovelia_weitschati	36.057	36.057	
Bandelnielsenia_chilena	236.499	236.499	
Baninus_thuringiorum	47.37	47.37	
Baptista_vetai	34.494	34.494	
Bathysmatophorinae	36.628	34.737	
Bathysmatophorini	34.933	34.933	
Batrachomorphus_femoralis	27.68	27.68	
Beaconiella_fennahi	246.994	246.994	
Beaconiella_multivenata	245.255	245.255	
Beaufortiscus	253.583	253.583	
Beaufortiscus_dixi	253.912	253.912	
Beipiaocoris_multifurcus	125.983	125.983	
Bekkerscytina_primitiva	252.177	252.177	
Bellicoris_mirabilis	128.756	128.756	
Belmontocarta_perfecta	252.452	252.452	
Belostoma_bakeri	0.001	0.001	extant
Belostomates_speciosum	12.557	12.557	
Belostomatidae	214.464	5.471	
Belostomatinae	148.515	148.515	
Belpsylla_reticulata	252.749	252.749	
Berendtaphis_cimicoides	37.962	34.423	
Bernaea_neocomica	128.08	128.08	
Bernaeinae	157.369	157.369	
Berytidae	18.326	7.633	
Berytopsis_femoralis	11.853	11.853	
Biamoaphis_antiqua	34.691	34.691	
Bibiticen_hebeiensis	127.026	127.026	
Blattoprosbole_tomiensis	302.14	302.14	
Bolbossus_bervoetsi	35.975	35.975	
Bolshayanoecia_rasnitsyni	37.12	34.791	
Boreocixius_rotundatus	251.905	251.905	
Boreocixius_sibiricus	251.937	251.937	
Boreoscyta_latipennis	271.682	269.513	
Boreoscyta_nefasta	272.23	269.935	
Borisrohdendorfia_picturata	271.47	271.47	
Bothriobaltia_pietrzeniukae	34.836	34.836	
Brachymetroides_atra	17.854	17.854	
Brachypelta_retrita	31.557	31.557	
Brachypelta_rotundata	16.283	16.016	
Brachypicritus_ribesi	34.202	34.202	
Brevaphrodella_nigra	37.175	37.175	
Breviscutum_lunatum	127.361	127.361	
Brevisensoria_incrustata	16.258	16.258	
Brevrimatus_pulchalifer	126.467	126.467	
Brimaphis_abdita	116.286	116.286	
Brimaphis_certa	120.199	113.842	
Brimaphis_similis	114.228	114.228	
Britannicola_senilis	199.967	199.967	
Bugyrorinaphis_bayana	114.211	114.211	
Bugyrorinaphis_unica	124.593	124.593	
Bumbacorixa_elytralis	124.714	114.753	
Buriataphis_soporata	117.439	117.439	
Burmacader_multivenosus	96.06	96.06	
Burmacicada_protera	98.112	98.112	
Burmacoccus_danyi	95.959	95.959	
Burmametra_macrocarinata	93.553	93.553	
Burmitaphis_prolatum	94.536	94.536	
Burmorthezia	99.588	99.588	
Burmorthezia_insolita	99.2	99.2	
Burmorthezia_kotejai	94.104	94.104	
Burmoselis_evelynae	99.044	99.044	
Buzinia_couillardi	102.312	102.312	
Byssoidecerus_levigatus	128.539	128.539	
Bythoscopus_homousius	34.177	34.177	
Bythoscopus_lapidescens	47.649	47.649	
Bythoscopus_lunatus	25.492	25.492	
Bythoscopus_melanoneurus	11.731	11.731	
Bythoscopus_muscarius	24.955	24.955	
Bythoscopus_pulcher	57.597	57.597	
Bythoscopus_robustus	23.904	23.904	
Bythoscopus_sepultus	23.928	23.595	
Cacalydus_exstirpatus	36.335	36.335	
Cacalydus_lapsus	36.492	36.492	
Cacheutacicada_kurtzae	236.689	236.689	
Cacopsylla_adjuncta	14.99	14.99	
Cacopsylla_agellialta	19.427	19.427	
Cacopsylla_beckeriae	15.879	15.879	
Cacopsylla_elongata	15.567	15.567	
Cacopsylla_lapidea	22.99	22.99	
Cacopsylla_loginovae	14.268	14.268	
Cacopsylla_popovi	18.207	18.207	
Cacopsylla_subambigua	13.709	13.207	
Cacopsylla_taurica	18.455	18.455	
Cacopsylla_umbrata	13.327	13.327	
Cacoschistus_maceriatus	34.796	34.796	
Calgariaphis_unguifera	80.165	80.165	
Calisiomorpha_yuripopovi	94.03	94.03	
Calisiopsis_azteca	21.465	21.465	
Calisiopsis_brodzinskyorum	20.268	20.268	
Calisius	35.431	35.431	
Calisius_balticus	49.529	34.595	
Calisius_hoffeinsorum	34.595	34.595	
Calisius_rietscheli	36.814	36.814	
Calisius_vonholti	35.821	35.821	
Calisius_weitschati	37.777	37.777	
Calocoris_antennatus	23.055	23.055	
Campaniaphis_albertae	77.472	77.472	
Canadaphis_carpenteri	76.546	74.669	
Canadaphis_kovalevi	81.181	81.181	
Canadaphis_mordvilkoi	84.61	84.61	
Canaphis_albertensis	72.004	72.004	
Cancerococcus_apterus	35.314	35.314	
Canteronecta_irajae	114.14	114.14	
Capsus_lacus	35.448	35.448	
Capsus_obsolefactus	36.465	36.465	
Carbula_crassiventris	15.87	11.847	extant
Carbula_pustulosa	13.02	13.02	
Carinametra_burmensis	94.424	94.424	
Carmelus_gravatus	36.811	36.811	
Carmelus_sepositus	37.188	37.188	
Carpenterella_curtipennis	164.342	164.342	
Carpenterella_grombtchevskayae	163.279	163.279	
Carpenterella_pusilla	163.814	163.814	
Carpocoris_hoberlandti	16.772	16.772	
Carpocoroides_incertus	2.616	2.616	
Carpocoroides_latus	3.223	2.701	
Carpopodus	117.464	113.453	
Carpopodus_difficilis	119.702	119.702	
Carsburgia_knezouri	227.585	220.861	
Carsidarina	35.01	35.01	
Carsidarina_ampla	37.39	37.39	
Carsidarina_hooleyi	37.161	37.161	
Carsidarina_jarzembowskii	36.591	36.591	
Carsidarina_media	35.561	35.561	
Carventus_bechlyi	14.623	14.623	
Cathalus_alutaceus	182.15	182.15	
Catopamera_augheyi	34.272	34.272	
Catopamera_bradleyi	35.353	35.353	
Catopsylla_crawfordi	34.839	34.839	
Catopsylla_prima	35.995	35.995	
Caudaphis	124.707	113.217	
Caudaphis_angustivola	124.695	113.733	
Caudaphis_brevicrura	124.784	115.27	
Caudaphis_leptoneura	118.362	118.362	
Caudaphis_longiantennata	122.807	115.355	
Caudaphis_minulissima	116.811	116.811	
Caudaphis_modica	119.531	113.736	
Caudaphis_spinalis	113.058	113.058	
Caudaphis_vulgata	124.9	116.08	
Caulinus_burmitis	97.915	97.915	
Cedusa_baylissae	22.483	22.483	
Cedusa_credula	15.123	15.123	
Celantia_seposita	37.094	37.094	
Celinapterix_bellissima	58.596	58.596	
Cenanges	19.566	16.063	
Cephalocoris_pilosus	12.143	12.143	
Ceratocombus_(Ceratocombus)_hurdi	21.745	21.745	
Cercopidae	143.478	19.463	
Cercopidium_mimas	143.374	143.374	
Cercopidium_rugulosum	59.237	59.237	
Cercopion_reticulata	116.128	116.128	
Cercopis	24.462	12.177	
Cercopis_amaguensis	18.93	18.93	
Cercopis_astricta	48.463	48.463	
Cercopis_aurata	0.006	0.006	
Cercopis_cephalinus	48.212	48.212	
Cercopis_charpentieri	12.586	12.02	
Cercopis_fasciata	12.538	11.738	
Cercopis_germari	11.911	11.911	
Cercopis_gigantea	12.693	12.693	
Cercopis_grandescens	48.679	48.679	
Cercopis_lanceolata	12.121	12.121	
Cercopis_longicollis	11.675	11.675	
Cercopis_melaena	37.702	37.702	
Cercopis_oeningensis	12.292	12.292	
Cercopis_pallida	12.425	12.425	
Cercopis_rectelinea	11.919	11.919	
Cercopis_selwyni	46.955	46.955	
Cercopis_suffocata	36.657	36.657	
Cercopites_calliscens	47.812	47.812	
Cercopites_torpescens	49.926	49.926	
Cercopites_umbratilis	48.55	48.55	
Cercopoidea	222.928	9.312	
Ceresopsis_costalis	195.385	195.385	
Ceresopsis_ornata	194.17	194.17	
Ceresopsis_vitrea	191.759	191.759	
Chalicoridulum_montsecensis	125.529	125.529	
Chanithus_vishneviensis	13.929	13.929	
Chengdecercopis_xiaofanzhangziensis	161.135	161.135	
Chilacis_univestis	23.698	23.698	
Chiliocycla_scolopoides	223.73	223.73	
Chinchekoala_qunita	49.804	49.804	
Chloriona_stavropolitana	13.8	13.8	
Cholula_triguttata	48.985	48.985	
Chorotingioites_priscus	43.505	43.505	
Cicada_aichhorni	12.453	12.453	
Cicada_bifasciata	12.119	12.119	
Cicada_grandiosa	35.547	34.116	
Cicada_orni	2.608	2.608	extant
Cicada_ungeri	12.363	12.363	
Cicadatra_serresi	25.978	24.128	
Cicadella_scudderi	49.794	49.794	
Cicadella_viridis	13.179	13.179	extant
Cicadellidae	134.164	0.044	
Cicadellites_bruckmanni	12.228	12.228	
Cicadellites_nigriventris	12.47	12.47	
Cicadellites_oblongus	11.737	11.737	
Cicadellites_obscurus	23.485	23.485	
Cicadellites_pallidus	11.673	11.673	
Cicadellites_theobaldi	3.493	3.493	
Cicadellium_dipsas	142.404	142.404	
Cicadellium_pulcher	140.25	140.25	
Cicadellopsis_incerta	185.405	185.405	
Cicadellopsis_issykkulica	201.222	201.222	
Cicadidae	43.643	3.518	
Cicadocoris	159.022	159.022	
Cicadocoris_abditus	188.727	168.478	
Cicadocoris_affinis	200.943	185.059	
Cicadocoris_ambiguus	187.354	187.354	
Cicadocoris_anglicus	193.919	193.919	
Cicadocoris_arcuatus	197.234	192.35	
Cicadocoris_assimilis	162.756	162.756	
Cicadocoris_brunneus	164.482	162.896	
Cicadocoris_cognatus	185.009	185.009	
Cicadocoris_complexus	193.363	191.762	
Cicadocoris_confinis	194.016	193.008	
Cicadocoris_conjunctus	191.517	191.517	
Cicadocoris_fidus	188.19	188.19	
Cicadocoris_frater	196.285	168.116	
Cicadocoris_ignoratus	194.6	194.6	
Cicadocoris_incompletus	198.58	198.58	
Cicadocoris_intermedius	183.307	183.307	
Cicadocoris_kuliki	194.243	194.243	
Cicadocoris_kuzbasicus	185.802	185.802	
Cicadocoris_lilliputus	157.504	157.504	
Cicadocoris_minutus	200.525	200.525	
Cicadocoris_modestus	184.609	184.609	
Cicadocoris_paulinus	189.26	189.26	
Cicadocoris_similis	191.417	191.417	
Cicadocoris_sinensis	164.274	157.445	
Cicadocoris_sogjutensis	198.165	194.731	
Cicadocoris_turanicus	196.534	193.702	
Cicadocoris_varians	164.525	164.525	
Cicadoidea	2.554	2.554	
Cicadoides_orientalis	117.211	117.211	
Cicadoides_shandongensis	114.366	114.366	
Cicadomorpha	46.45	25.971	
Cicadomorpha_milva	146.289	146.289	
Cicadomorpha_parula	147.726	147.726	
Cicadomorpha_punctulata	163.047	163.047	
Cicadoprosbole_sogutensis	196.383	196.383	
Cicadopsis	276.255	276.255	
Cicadopsis_rugosipenna	271.915	271.915	
Cicadopsylla_permiana	268.801	268.801	
Cicadopsyllidium_elongatum	199.292	199.292	
Cicadopsyllidium_mongolicum	145.714	145.714	
Cicadopsyllidium_stenoptilium	115.352	115.352	
Cicadula_saxosa	49.442	49.442	
Cilicydnus_robustispinus	128.937	128.937	
Cimicidium_dallasi	141.584	141.584	
Cimicoidea	125.162	125.162	
Cinara_(Cinara)_elegans	13.757	13.757	
Cinara_(Cinara)_limnogena	13.304	13.304	
Cinara_(Cinara)_pastica	13.21	13.21	
Cinara_(Cinara)_reconditivenia	13.831	13.831	
Cinemala_contrasta	169.106	169.106	
Cintux_menatensis	56.079	56.079	
Cixiella_reducta	201.152	201.152	
Cixiidae	112.52	48.225	
Cixiites_liasinus	182.608	182.608	
Cixioides_maculatus	144.404	144.404	
Cixitettiginae	96.929	96.929	
Cixitettix_yangi	86.264	86.264	
Cixius	24.04	23.59	
Cixius_discretus	19.999	19.999	
Cixius_fraternus	36.174	36.174	
Cixius_gracilis	36.173	36.173	
Cixius_hesperidum	46.45	46.45	
Cixius_longirostris	34.718	34.718	
Cixius_petrinus	129.2	129.2	
Cixius_proavus	35.766	35.766	
Cixius_sieboldtii	36.131	36.131	
Cixius_testudinarius	35.807	35.807	
Cixius_vitreus	37.051	33.762	
Cladocossus_undulatus	157.712	157.712	
Clastoptera_comstocki	35.78	35.78	
Clavaticoris_zhengi	129.198	125.692	
Clavicoris_cretaceus	123.751	116.223	
Clavimyiomma_henryi	37.155	37.155	
Clavopsyllidium_minutum	252.308	252.308	
Clodionus_fizoli	52.56	52.56	
Cloresmus_ambimodestus	13.158	13.158	
Cloresmus_shanwangi	12.552	12.552	
Closterocoris_elegans	34.164	34.164	
Coccavus_supercubitus	235.573	228.058	
Coccidae	22.762	22.298	
Coccoidea	12.101	12.101	
Coelidia_columbiana	48.783	48.783	
Coelidia_wyomingensis	50.835	50.835	
Coleoscyta	270.158	270.158	
Coleoscyta_elytrata	271.56	271.56	
Coleoscyta_kamensis	272.171	272.171	
Coleoscyta_martynovi	272.137	272.137	
Coleoscyta_occallata	271.465	271.465	
Coleoscyta_rotundata	270.325	269.641	
Coleoscytodes_elytrata	271.445	269.091	
Coleoscytodes_venosa	270.06	270.06	
Collarhamphus_mixtus	36.444	36.444	
Collivetanthocoris_rapax	126.361	126.361	
Colossocossus_bechlyi	113.636	113.636	
Colossocossus_giganticus	113.385	113.385	
Colossocossus_loveridgei	115.044	115.044	
Colossocossus_rugosa	114.579	114.579	
Conicaudus_longipes	37.711	37.711	
Conjucella_selene	117.061	113.136	
Copallinges_chiapasensis	19.325	19.325	
Cophocoris_tenebricosus	34.645	34.645	
Copidopus_jurassicus	146.694	146.694	
Coptochromus_manium	35.216	35.216	
Coptosoma_eocenica	58.472	58.472	
Coreidae	70.256	6.453	
Coreiopsis_miocenica	13.759	13.759	
Coreiopsis_parva	13.066	13.066	
Coreiopsis_punctata	14.442	14.442	
